latitude,longitude
17.3850,78.4867
12.9716,77.5946
26.9124,75.7873
22.5726,88.3639
19.0760,72.8777
28.6139,77.2090
23.0225,72.5714
25.5941,85.1376
10.7905,78.7047
21.1458,79.0882
